Title	Identifier	Platforms	Website	Development Studio	Studio Location	Publisher	Sponsor	Early Access Date	Release Date	Languages	Media Format	Genres	Awards	Store	Presskit	Articles	Twitter	Development Log	Source	Online Play	Download Page	Direct Download	Trailer Video Link	Logo Direct Link	Screenshot Direct Link	Box Art Direct Link	Description	Credits	Remarks	State (released, unreleased, canceled)	Data Quality
(re)format Z	reformatz	Android, iOS	http://www.reformatzgame.ch/en/reformat-z-en/	Blindflug Studios	Zurich				2017-11-03	English				https://itunes.apple.com/app/re-format-z/id1222873942, https://play.google.com/store/apps/details?id=com.blindflugstudios.renewalzh	http://bit.ly/reformatzpress								https://www.youtube.com/watch?v=QVbDAVfIaps		https://www.blindflugstudios.com/media/images/2017/10/ReformatZ_Screenshot2.jpg		Embark on a quest to become the programmer of liberty!  Alice’s attempt to hack into the LIBRIA Corp's protocol proved unsuccessful. She was then suddenly contacted by a mysterious underground organization calling itself “The Resistance”. Alice is in danger – LIBRIA has full control over the citizens and they know what she has done. The Resistance is certain: Alice’s actions will lead to a revolution.  To uncover the truth behind LIBRIA, Alice has to sneak past surveillance cameras, drones and security guards. While she makes her way through futuristic Zurich, the Resistance shows her the significance of several locations that led to the reformation – in the same place, 600 years ago.  The time has come to fight for liberty. Start a revolution.			released	6240
Farming Simulator Switch Edition	farmingsimulatorswitchedition	Switch	https://www.farming-simulator.com/	Giants Software	Schlieren	Focus Home Interactive			2017-11-07	English, German		Simulation							https://www.mobygames.com/game/farming-simulator-nintendo-switch-edition						https://cdn02.nintendo-europe.com/media/images/06_screenshots/games_5/nintendo_switch_6/nswitch_farmingsimulatornintendoswitchedition/NSwitch_FarmingSimulatorNintendoSwitchEdition_03.jpg	https://www.mobygames.com/images/covers/l/435924-farming-simulator-nintendo-switch-edition-nintendo-switch-front-cover.png				Released	5241
Innovetica	innovetica	Android, iOS	https://innovetica.ch/de/spielguide/	Gbanga	Zürich				2017-11-08	German				https://itunes.apple.com/app/innovetica/id1287447662, https://play.google.com/store/apps/details?id=com.gbanga.chgame	https://innovetica.ch/de/presse/								https://www.youtube.com/watch?v=EcCxpTiZ3kg	https://innovetica.ch/app/uploads/2017/10/Innovetica-App-Icon.png	https://innovetica.ch/app/uploads/2017/10/CHG_screenshot03_DE.png	https://innovetica.ch/app/uploads/2017/11/CHG_keyvis_258x209mm_PRINT_V2_01.png	Innovetica ist ein strategisches Sammelkartenspiel aus der Schweiz um Innovation und kreatives Denken, das man sowohl in echt mit bis zu drei Freunden oder virtuell per App spielen kann. Die App ist komplett gratis verfügbar während die Karten bei verschiedenen Partnern gratis zu einem Einkauf verteilt werden.			released	6350
Dust Squad	dustsquad	AirConsole	https://www.airconsole.com/play/battle-games/dust-squad	AirConsole	Zürich				2017-12-15	English										https://www.airconsole.com/play/battle-games/dust-squad			https://www.youtube.com/watch?v=wb5vnF07YoE	https://lh3.googleusercontent.com/fFiOEB6kMqm2qgsP_-36kSwYlvmIIBF_IP4auvrYzIhvDpQU0StbsQ6EX4I8BsbwiURGsQU6ypoO-aCNgKIPrA		https://lh3.googleusercontent.com/fFiOEB6kMqm2qgsP_-36kSwYlvmIIBF_IP4auvrYzIhvDpQU0StbsQ6EX4I8BsbwiURGsQU6ypoO-aCNgKIPrA	DUST SQUAD - Tanks for Nothing is a puzzle action game for 1-6 players. You are the DUST SQUAD, a special unit of sentient tanks sent to explore and conquer a strange planet.  Battle your way through levels filled with evil robot monsters eager to slice you and your friends apart. Evade destructive guard turrets while you’re waiting for your teammates to finally open that door. Find the glowing cores to upgrade your tank’s armor, engine and weapons.  			released	6240
A Tale of Wells	ataleofwells	iOS, Android	https://koboldgames.ch/projects.php?id=2	Kobold Games	Brugg		Stadt Zürich Wasserversorgung		2018-01-01	German		Adventure		https://play.google.com/store/apps/details?id=ch.koboldgames.ataleofwells, https://itunes.apple.com/us/app/a-tale-of-wells/id1311351107?mt=8											https://koboldgames.ch/img/projects/tale_of_wells/gallery_1.png	https://koboldgames.ch/img/projects/tale_of_wells/embedded.png	With A Tale of Wells, the visitors of Zurich city can be part of a magical adventure. Centerpoint of this adventure are the numerous public water fountains in the city, mostly overlooked in daily life. Magical creatures are hiding in them, which can tell the participants of the game more about the history of these fountains and the city.			Released	5331
Eselmir and the five magical gifts	eselmir	PC, Mac	http://www.stelexsoftware.com/eselmir	Stelex Software	Bellinzona				2018-01-12	English, Italian		Point and click adventure game, fantasy, story driven		http://store.steampowered.com/app/677850/Eselmir_and_the_five_magical_gifts/	http://www.stelexsoftware.com/presskit-eselmir	http://www.stelexsoftware.com/dicono-di-noi-2018	http://www.twitter.com/StelexSoftware						https://www.youtube.com/watch?v=FsZ2cFDKKWA	http://web302.login-74.hoststar.ch/download/presskit/eselmir-stelex-software-logo-pk.zip	https://static.wixstatic.com/media/7875f4_90369b2a1d934de2aedfa896cd5d8da6~mv2.jpg/v1/fill/w_920,h_690,al_c,q_85,usm_0.66_1.00_0.01/7875f4_90369b2a1d934de2aedfa896cd5d8da6~mv2.jpg		Eselmir and the five magical gifts is a 2D point and click adventure game inspired by the old classics of the genre. It tells the story of Eselmir and his journey to find the five magical lost gifts of King Theoson, leading the player to explore a charming imaginary world.			Released	6253
Cendric	cendric	PC, Mac, Linux	http://www.cendric.ch	Isabelle Roesch, Tizian Zeltner, Matthew Harnage	Zürich			2015-09-30	2018-03-02	Swiss German, English, German		RPG, Platformer, Puzzle		http://store.steampowered.com/app/681460/Cendric/			@CendricGame	https://en.sfml-dev.org/forums/index.php?topic=19740	https://github.com/tizian/Cendric2			https://github.com/tizian/Cendric2/releases	https://www.youtube.com/watch?v=qZWzz8LhNoM		http://cendric.ch/gallery/full/284/2016-05-24-11-24-57@2x.png		Cendric is a genre and view-flipping RPG/Platformer game. In the RPG part, the player can talk to NPCs (dialogue choices), trade, accept quests and follow the story. In the platformer part, the player can pick up items, fight monsters and bosses, and solve jumping and other puzzles. As Cendric is a mage, he can learn various spells that are needed to solve  puzzles by changing the level itself (freezing water for example). These spells can be modified as well, using "gem modifiers", that increase for example the speed or the range of a spell.			released	9233
Octahedron	octahedron	PS4, XBOX One, Windows Steam	http://www.octahedrongame.com/	Demimonde Games	Winterthur	Square Enix Collective			2018-03-20	English		Platform		https://store.steampowered.com/agecheck/app/434660/	http://www.octahedrongame.com/presskit		https://twitter.com/DemimondeGames						https://vimeo.com/279440720		https://static1.squarespace.com/static/53e25455e4b0b1602f1b3316/5815dba944024385b4e9ac28/5815dbae6a496367e356bb18/1477827510412/octahedron005.png?format=2500w		OCTAHEDRON is a precision vertical action game about creating your own platforms.  Ascend and escape strange subterranean world Veetragoul, and experience an otherworldly psychedelic adventure. To conquer and master each of the handcrafted levels, you must get into the flow of the pumping, atmospheric soundtrack, as enemies and traps move along with the rhythm.  Discover new obstacles, adversaries and mechanics in every level, with clever gameplay that is easy to learn but difficult to master. Unlock powerful offensive abilities for your platform and fight back against Veetragoul’s peculiar foes. With its intuitive controls and tight and well-developed gameplay, OCTAHEDRON is a challenging and unique action game set in a mysterious neon world.  	Monomirror		Released	6262
Anshar Online	ansharonline	Gear VR, Oculus Go, Oculus Rift	https://www.oculus.com/experiences/gear-vr/1483105368478205/#	OZWE Games		OZWE Games			2018-04-22	English		Action, Shooter		https://www.oculus.com/experiences/gear-vr/1483105368478205/	https://www.ozwe.com/press-kit/								https://www.youtube.com/watch?v=d0HGR3-0oOw		https://www.ozwe.com/wp-content/uploads/AnsharOnline_JudgementCity-2-1024x576.jpg		A virtual reality space shooter game that brings together all Oculus community players in intense and merciless online battles. In Anshar Online, you will attempt to solve the investigation into  the death of your partner – and best friend – Rush Steel, killed at the  beginning of the game in an ambush of which you are the sole survivor. You will try to uncover who ordered the ambush with the help of your ally Lady Elitas, who will guide you towards your goal.			Released	6241
Moon Surfing	moonsurfing	iOS, WinPhone	https://moon-surfing.com/		Luzern				2018-05	English		Racing		https://itunes.apple.com/app/id1243455518	https://moon-surfing.com/press/		https://twitter.com/chrstnschnllmnn						https://www.youtube.com/watch?v=br4EV8z3204		https://is3-ssl.mzstatic.com/image/thumb/Purple125/v4/67/7e/f3/677ef3ef-c166-ba71-07af-207b5c69152f/pr_source.png/600x0w.png		Grab a solar board and surf the moon’s dusty hills and steep craters. It is up to you – if you roam freely, perhaps practicing some kickflips, or if you head directly to the marked waypoints.	Christian Schnellmann		Released	5252
FAR: Lone Sails	farlonesails	PC, Mac, PS4, XBox One	http://www.far-game.com/	Okomotive	Zürich	Mixtvision			2018-05-17					http://store.steampowered.com/app/609320/FAR_Lone_Sails/									https://www.youtube.com/watch?v=ebz8UFeb8xM		http://cdn.edgecast.steamstatic.com/steam/apps/609320/ss_e8245957a951420853f2859f9fc114a56bf1c8b6.1920x1080.jpg		Traverse a dried-out seabed littered with the remains of a decaying civilization. Keep your unique vessel going, overcome numerous obstacles and withstand the hazardous weather conditions. How far can you make it? What will you find?			released	6230
Invisiballs	invisiballs	Switch	http://invisiballs.com/	Digital Kingdom	Vevey				2018-05-17					https://www.nintendo.com/games/detail/invisiballs-switch	http://digitalkingdom.ch/press/sheet.php?p=invisiballs								https://www.youtube.com/watch?v=tYTh6Xu5I3s	http://digitalkingdom.ch/press/invisiballs/images/logo.png	http://digitalkingdom.ch/press/invisiballs/images/screenshot_asset_2_HD.png		Invisiballs is a competitive local multiplayer game for 2 to 4 players. Played on a single, top-down, shared screen, everyone controls an invisible ball inside a maze and must capture a golden artifact to win the game. Designed entirely around a new type of gameplay set in a minimalist universe, Invisiballs is simple with a deep learning curve. Nervous and precise, Invisiballs is for players who love to play competitive games with their friends. 	Stéphane Restani Game Design, Programming  Benjamin Vurlod Game Design, Graphics  Basile Perrenoud Game Design, Programming, Sound design  Olivier Reutenauer Management  Leila Aït Kaci Testing, Master of coffee		released	6250
Numbers	numbers	Web	https://bellisk.itch.io/numbers	Rae Knowler	Zurich				2018-06-03	English								http://raeknowler.name/numbers		https://bellisk.itch.io/numbers				http://raeknowler.name/static/media/uploads/numbers.png	http://www.zarkonnen.com/static/bumble/media/uploads/Numbers_1.png		What do the numbers coming from the shortwave station mean? Who is  behind it? Who wants to help you find out... and who will stop you at  any cost?	Development Rae Knowler  Music David Stark		released	6151
Brotherhood United	brotherhoodunited	Windows Steam	https://www.facebook.com/myoubouh.corp/	Greedy Hollow	Geneva / Brazil	Myoubouh Corp			2018-06-15	French / English / Portuguese (Brazilian)		Action/Run and gun		https://store.steampowered.com/app/869030/Brotherhood_United/									https://www.youtube.com/watch?v=9oKgo8oIxa4		https://steamcdn-a.akamaihd.net/steam/apps/869030/ss_ed1a5a7ab407efc4f908a2bfe9ea673a8f59cb4f.1920x1080.jpg		Pick your guns, grab your beer and blast your way through hordes  of enemies on this run and gun game as a member of the Brotherhood who  leaves no friend behind. Show your enemies that no one messes with the  Brotherhood. Unite the Brotherhood !                                                        			Released	6241
Morphies Law	morphieslaw	Switch	https://morphieslaw.com/	Cosmoscope	Lyss				2018-08	English		Multiplayer Arena Shooter		https://www.nintendo.com/games/detail/morphies-law-switch			https://twitter.com/MorphiesLaw						https://www.youtube.com/watch?v=3_9efsPgO50		https://morphieslaw.com/wp-content/uploads/2018/08/Morphies-law-Screenshot-1.jpg		Morphies Law is a robot morphology driven 3D shooter with a simple basic law: each weapon hit transfers mass from the victim’s damaged limb (making it shrink) to the corresponding limb of the attacker (making it grow).			Released	6232
Airships: Conquer the Skies	airships	PC, Mac, Linux	http://zarkonnen.com/airships	David Stark	Zürich			2015-02-25	2018-08-16	English, German, French, Japanese, Russian, Simplified Chinese				http://store.steampowered.com/app/342560/Airships_Conquer_the_Skies/	http://zarkonnen.com/airships/press			http://zarkonnen.com/airships					https://www.youtube.com/watch?v=CpKfFgzuWLQ		http://zarkonnen.com/static/bumble/media/uploads/as7_combat.png	http://zarkonnen.com/static/bumble/media/uploads/as_new_header.jpg	In Airships: Conquer the Skies, players construct steampunk vehicles and use them to conquer the world and compete against other players. Ships are shown in a side-on “ant farm” view, with air sailors running around, manning the guns, carrying ammo, putting out fires.  Air combat is a visceral thing: ships ram and push against each other and boarding parties use grappling hooks to invade enemy ships. Below, giant landships move on legs and tracks. Nature has its own terrors: sky krakens with tentacles that grab and devour crew, house-sized spiders and horse-sized spiderlings, dragons to fear and tame.  Can you build the strongest airships, use them skilfully, and conquer the skies?			released	7341
Juliäntli	juliantli	PC, Mac	https://www.stardust.ch/portfolio/juliantli/	Stardust	Zurich				2018-08-31	English		Rythym		https://store.steampowered.com/app/898260/Juliantli/			https://twitter.com/ElisaItabe						https://www.youtube.com/watch?v=xOYW6mSYuf4		https://steamcdn-a.akamaihd.net/steam/apps/898260/ss_cb64d62c0aeb67a539896e28fadffad43132d3b5.1920x1080.jpg	http://www.stardust.ch/wp-content/uploads/2018/08/Juliantli_MainCapsule.png	Juliäntli is a simple rhythm game where you click ducks on the beat. When you hit the ducks, they will activate their special abilities. Green ducks will give you more time to play, blue ducks attract other ducks around them and red ducks destroy ducks in the vicinity. There are also combo ducks which will give you more points and more time, but you have to hit them in the right order to not break the combo.	Elisa Itabe (code, design, art), Michel Barengo (music)		Released	6342
Splash Blast Panic	splashblastpanic	PC, Mac, Linux, Switch, XBOX One, PS4	http://playsbp.ch/	Team KwaKwa	Lausanne	Digital Smash			2018-09	English, French, Japanese, ...		Arcade, Local Multiplayer		https://store.steampowered.com/app/503750/SPLASH_BLAST_PANIC/	https://team-kwakwa.com/presskit/sheet.php?p=splash_blast_panic		https://twitter.com/playSBP						https://www.youtube.com/watch?v=pgFjsX3Pom0		https://team-kwakwa.com/presskit/splash_blast_panic/images/SS4.png		SPLASH BLAST PANIC is a multiplayer party fighting game where you dash, fly and shoot your opponents with water pistol, mixing precision flight controls and a vast array of items and powerups. Inspired by old arcade titles as well as newer competitive party games, ruin all your friendships in a variety of stage which may or may not have various level of gimmicks that could backhand you if you're not careful, or tell that person you always despised your true feelings with waterbomb launchers, bubble prisons, watergun sentries, reflective shields and more !	Elias Farhan, Programmer and Game Designer, Team-KwaKwa / Kevin Peclet, Artist and Game Designer, Team-KwaKwa / Mitch Gasser, Music, Freelancer / Julien Matthey, Sound Designer, Freelancer		Released	6262
Retimed	retimed	Windows, Mac, Nintendo Switch	https://maniax-games.com/Retimed/	Team Maniax	Zurich	Stray Fawn Studio			2018-09-20	English		local multiplayer arena shooter		https://www.nintendo.com/games/detail/retimed-switch	https://maniax-games.com/press/sheet.php?p=retimed		https://twitter.com/TeamManiax						https://www.youtube.com/watch?v=N38d1Hk52jA		https://maniax-games.com/press/retimed/images/Retimed%2005.png		Retimed is a local multiplayer arena shooter for 2-4 players. When a player is in danger, time slows down and a time bubble is created around the player. Now there is enough time to react and try to dodge the deadly projectiles. These time bubbles generate exciting alternations between fast-paced movement and tension-filled slowmotion moments. 			Released	6252
Atomik Chaotik Bombing of Doom	atomikchaotikbombingofdoom	Web, PC, Mac	sharpedstonestudios.ch/AtomikBazar	Sharped Stone Studios	Geneva/Lausanne	Sharped Stone Studios			2018-09-27	English		Action, Arcade		https://itch.io/c/379794/atomik-bazar			https://twitter.com/SharpedStoneStd			https://itch.io/queue/c/379794/atomik-bazar?game_id=302907	https://itch.io/queue/c/379794/atomik-bazar?game_id=302907			http://sharpedstonestudios.ch/img/atomikBazar.png	https://img.itch.zone/aW1hZ2UvMzAyOTA3LzE1MTQyMDgucG5n/original/3uGnWb.png		In this collaborative game, each player steers one of the two planes  carrying a large bomb meant to dismantle a nuclear power plant. The two players have to work together in order to transport the bomb  to the target. But careful! The bomb is heavy, don't make the planes  touch, and don't collide with the enemies, of which there are many!			Released	8252
Atomik Blind Threat of Doom	atomikblindthreatofdoom	Web, PC, Mac	sharpedstonestudios.ch/AtomikBazar	Sharped Stone Studios	Geneva/Lausanne	Sharped Stone Studios			2018-09-27	English		Action, Arcade		https://itch.io/c/379794/atomik-bazar			https://twitter.com/SharpedStoneStd			https://itch.io/queue/c/379794/atomik-bazar?game_id=301708	https://itch.io/queue/c/379794/atomik-bazar?game_id=301708			http://sharpedstonestudios.ch/img/atomikBazar.png	https://img.itch.zone/aW1hZ2UvMzAxNzA4LzE1MTQyMjcucG5n/original/dOVHMZ.png		In an epic war between ships and silent threats (submarines), you are tasked to destroy the enemy by guiding a torpedo through a treacherous reef full of sea-mines and sharks.			Released	8252
Atomik Innacurate Laserfights of Doom	atomikinnacuratelaserfightsofdoom	Web, PC, Mac	sharpedstonestudios.ch/AtomikBazar	Sharped Stone Studios	Geneva/Lausanne	Sharped Stone Studios			2018-09-27	English		Action, Arcade		https://itch.io/c/379794/atomik-bazar			https://twitter.com/SharpedStoneStd			https://itch.io/queue/c/379794/atomik-bazar?game_id=301698	https://itch.io/queue/c/379794/atomik-bazar?game_id=301698			http://sharpedstonestudios.ch/img/atomikBazar.png	https://img.itch.zone/aW1hZ2UvMzAxNjk4LzE1MTQxOTYucG5n/original/4wrTeg.png		The game portrays two to four space racers, eager to fight to be the first to conquer the moon. Using only innacurate laser shots as well as small thrusters, try to defeat your friends before they defeat you!			Released	8252
Atomik Unpredictable Meteors Field of Doom	atomikunpredictablemeteorsfieldofdoom	Web, PC, Mac	sharpedstonestudios.ch/AtomikBazar	Sharped Stone Studios	Geneva/Lausanne	Sharped Stone Studios			2018-09-27	English		Action, Arcade		https://itch.io/c/379794/atomik-bazar			https://twitter.com/SharpedStoneStd			https://itch.io/queue/c/379794/atomik-bazar?game_id=302908	https://itch.io/queue/c/379794/atomik-bazar?game_id=302908			http://sharpedstonestudios.ch/img/atomikBazar.png	https://img.itch.zone/aW1hZ2UvMzAyOTA4LzE1MTQyNDcuanBn/original/gCqR3K.jpg		Take control of the rocket and make it through as far as possible in this space mess.			Released	8252
Ingrid	ingrid	PC	https://zappedcow.itch.io/ingrid	Zapped Cow		Zapped Cow			2018-09-28	English				https://zappedcow.itch.io/ingrid			https://twitter.com/ZappedCow								https://img.itch.zone/aW1hZ2UvMzEwMTEyLzE1MjUwMTgucG5n/original/ycLmBL.png		Help Ingrid finding the ultimate holy grail of all loot and save humanity. Made in a bit more than a week for the Latru's Mini-RPG Jam II.	ZappedCow - Design, Code Bahototh - Art, Music		Released	5241
Airia	airia	iOS, Android	https://tourmaline-studio.com/en	Tourmaline	Geneva		LPGE		2018-10-04	French		Respiratory Exploration		https://itunes.apple.com/us/app/airia/id1435899865?l=fr&ls=1&mt=8, https://play.google.com/store/apps/details?id=ch.tourmaline.Souffle											https://is4-ssl.mzstatic.com/image/thumb/Purple118/v4/5f/40/a3/5f40a3bb-444d-0a24-df55-e5260b349a66/pr_source.jpg/600x0w.jpg	http://www.zarkonnen.com/static/bumble/media/uploads/d6ZjRbuD.jpg	Airia is a game to raise awareness of respiratory health through a poetic journey, proposed by the Geneva Lung League (www.lpge.ch), in a new approach to public health information and prevention. The application is deliberately metaphorical and treats pathologies from a resolutely playful and light angle in order to gently address the seriousness of some of the diseases considered. The player is led to operate, with his breath, a small boat and to discover, along different routes, messages - fragments of stories - that will lead him to lighthouses stages, symbolizing the main respiratory pathologies. A logbook provides short information on each of the respiratory diseases and invites players to continue their search for information via our dedicated platform www.airia.ch. The application can be approached on two levels: by its playful aspect only (from 6 years old) and/or by its incentive character to a basic understanding of respiratory diseases (requires a good level of reading French).			Released	5331
Toad-A-Licious	toadalicious	PC, Mac	https://zappedcow.itch.io/toad	Zapped Cow		Zapped Cow			2018-10-27	English				https://zappedcow.itch.io/toad			https://twitter.com/ZappedCow	https://zappedcow.itch.io/toad/devlog							https://img.itch.zone/aW1hZ2UvMzIxMjY0LzE1ODU2MTguZ2lm/original/RQkDQV.gif		Pick up your broom and your wand, it's toad soup time! Ya old toad soup recipe: -Use your wand to toadify some monsters -Ditch the poor toads in the cauldron -The cauldron will do the rest			Released	5232
Persephone	persephone	iOS, WinPhone	momo-pi.com/persephone	Momo-Pi Studio	Bulle	Plug-In Digital			2018-11	English		Puzzle		https://play.google.com/store/apps/details?id=com.momopi.persephone.premium, https://itunes.apple.com/us/app/persephone/id1425915725	http://press.momo-pi.com/sheet.php?p=persephone								https://www.youtube.com/watch?v=7ruGRyBuOlg		http://press.momo-pi.com/persephone/images/Persephone_IOS_55_H_08.png		Persephone is a turn based 2D isometric puzzle game that explores the next possibility : What if death in video games is not the end, but the key to solve the levels? Where, how and when will you choose to die in order to progress? You will incarnate Persephone, a young woman who tries to reach the bottom of hell to meet his beloved Hades. The only controls the player has is to move Persephone in four direction on the squared levels, each level representing a puzzle. The difficulty comes in the solution the player must provide in order to reach the end of each puzzle. The game is enriched by excellent musics and arts.	Cédric Reinhardt, Software Developer / Guillaume Schneuwly, Software Developer / Rinaldo Wirz, Creative Director / Renato De Aguiar, Composer / Thomas Olsson, Sound FX		Released	6261
uFin: The Challenge	ufinthechallenge	Android	https://koboldgames.ch/projects.php?id=3	Kobold Games	Brugg		Center for Ethics and  Department of Banking&Finance, University of Zurich, Chair of  Economic Psychology and Leadership Ethics Zeppelin University  Friedrichshafen		2018-11	German		Serious Game, Adventure													https://koboldgames.ch/img/projects/ufin/gallery_5.png		In the game, the player takes up the role of an investigator. Their task is to find out why their subsidiary company on another planet is not making any financial progress. The player has to collect any clues that are important for a potential restructuring progress. They will be confronted with different personal and business problems while finding out what is happening. Depending on what is discovered and which clues are brought back to the holding company, the player will get feedback on what the final restructuring process will change and how well the problems have been addressed.			Released	5131
Deru: The Art of Cooperation	derutheartofcooperation	PC, Mac, Linux, Switch	http://www.deru.ch/	INK KIT Studios	Zurich				2018-11-07			Coop Puzzle	"Nominee, SXSW Gamer's Voice'" Austin, Texas, 2017 "Winner, SGDA Swiss Game Award" Zurich, 2017 "Winner, SGDA Audience Award" Zurich, 2017 "Winner, Blue Byte Newcomer Award" Cologne, 2014 "Winner, Call for Projects: Swiss Games" Zurich, 2015 "Winner, Suisa Foundation Prize" Zurich, 2016 "Winner, Game Connection Pitch" Zurich, 2016 "Winner, Swissnex Startup Boost" San Francisco, 2016	https://store.steampowered.com/app/632250/DERU__The_Art_of_Cooperation/	http://inkkit.ch/press/sheet.php?p=deru								https://www.youtube.com/watch?v=nIjTm-K9zh0		http://inkkit.ch/press/deru/images/deru_screen_07.png		«DERU - The Art of Cooperation» brings two players together in a  cooperative gaming experience, in which they solve abstract and complex  levels. With teamwork, timing and tactical placement both players bring  color into the world of DERU. Mutual helping and protecting are fundamental parts of the gameplay. To  be successful the players have to communicate and plan outside of the  game. The player can also challenge oneself to control both characters  and solve the many puzzles.         	Dominik Haas Business & Development, INK KIT Studios  Christian Schmidhalter Game Designer & Art, INK KIT Studios  Don Schmoker Concept, Okomotive  Samuel Vonäsch Game Designer, INK KIT Studios  Michael Müller Development, INK KIT Studios  Melanie Vetterli Artist, INK KIT Studios  Michel Barengo Composer, Pupro		Released	6251
Farming Simulator 19	farmingsimulator19	PC, Mac, XBOX One, PS4	https://www.farming-simulator.com/	Giants Software	Schlieren	Focus Home Interactive, Astragon			2018-11-19	English, German		Simulation							https://www.mobygames.com/game/farming-simulator-19						https://www.mobygames.com/images/promo/l/455771-farming-simulator-19-screenshot.jpg	https://media.farming-simulator.com/img/content/products/game-fs19ps4-cover_int.png	Become a modern farmer and develop your farm on two huge American and European environments, filled with exciting new farming activities, crops to harvest and animals to tend to. Drive over 300 authentic vehicles and machines now including John Deere - but also Case IH, New Holland, Challenger, Fendt, Massey Ferguson, Valtra, Krone, Deutz-Fahr, and many more. Grow your farm online with other players, and download community created mods!			Released	6241
Oniri Islands	oniriislands	iPad, Smart Tablets	https://oniri-game.com/	Tourmaline	Geneva				2018-11-20	English, French		Co-op Adventure, Smart Toys		https://itunes.apple.com/us/app/oniri-islands/id1166258793, https://play.google.com/store/apps/details?id=ch.tourmaline.OniriProd	https://sites.google.com/view/oniri-press-kit/accueil		https://twitter.com/Oniri_Islands						https://www.youtube.com/watch?v=ebpoeIhd_xo		https://lh3.googleusercontent.com/NtASp-qqIpkS2WE4LK7zx5UetvteDxaD05Hb8mUYeraN0Z-YFxTlwnGkpxLcShRwLZUgkU-oH18BuJqZrMHC=w1920-h956		Oniri Islands is a co-op adventure game for two players. You play two kids lost on a mysterious island, searching for your shadows. You will find animal masks giving you magical powers to survive.			Released	6242
Farming Simulator 19: C64 Edition	farmingsimulator19c64edition	C64, Windows	https://www.farming-simulator.com/	Giants Software	Schlieren				2018-11-30	English		Simulation							https://www.mobygames.com/game/c64/farming-simulator-19-c64-edition					https://www.mobygames.com/game/c64/farming-simulator-19-c64-edition/screenshots/gameShotId,956025/	https://www.mobygames.com/images/shots/l/956027-farming-simulator-19-c64-edition-commodore-64-screenshot-empty.png	https://www.mobygames.com/images/covers/l/526349-farming-simulator-19-c64-edition-commodore-64-front-cover.jpg	Farming Simulator 19: C64 Edition is a version of Farming Simulator made for the C64. Originally part of Farming Simulator 19 (Collector's Edition) it is also available separately as a download which this entry covers as well as a separate boxed physical cartridge release. For Windows the game is played on the VICE emulator. It contains the CRT and D64 files needed to run it and these can also be used separately to play the game on the original C64 hardware. The game has the typical Farming Simulator gameplay here shown from an isometric perspective. There are three tractors and one harvester the player can control, based on the brands Case IH, Fendt, John Deere and New Holland. The game takes place on a single map. The different vehicles can be controlled and there are keys to quickly switch between them. Basic actions are acceleration, turning, breaking or reversing, and using the equipment. The vehicles also have a separate key to use the horn.			Released	6241
Occult Defence Agency Budgeting Simulator	occultdefenceagencybudgetingsimulator	Web	https://zarkonnen.itch.io/occult-defence-agency-budgeting-simulator	David Stark	Zurich	David Stark			2018-12-03	English		Satire				https://boingboing.net/2018/12/05/brexit-vampires.html	https://twitter.com/zarkonnen_com/	http://www.zarkonnen.com/occult_defence_agency_budgeting_simulator/		https://zarkonnen.itch.io/occult-defence-agency-budgeting-simulator				https://img.itch.zone/aW1nLzE2OTAyNTYucG5n/original/RhG2S7.png	https://img.itch.zone/aW1nLzE2OTg1MjYucG5n/original/OR7joc.png		Your organisation is in charge of defending the United Kingdom from paranormal threats. Vampire covens, stray werewolves, pixie swarms, cultists with funny robes and impractical daggers, unlicensed hauntings, and more obscure matters. None of that makes it immune to budget cuts, however.			Released	6154
Hermit the sluggish caterpillar of the sea	hermitthesluggishcaterpillarofthesea	Web, PC, Mac, AirConsole	http://sharpedstonestudios.ch/	Sharped Stone Studios	Geneva/Lausanne				2019-01-29	English		Action, Arcade					https://twitter.com/SharpedStoneStd			https://sharpedstonestudios.itch.io/hermit-the-sea-caterpillar	https://sharpedstonestudios.itch.io/hermit-the-sea-caterpillar				https://img.itch.zone/aW1hZ2UvMzYxNjI2LzE4MTI2ODkuanBn/original/o9zIFy.jpg	https://img.itch.zone/aW1hZ2UvMzYxNjI2LzE4MTI2ODQuanBn/original/nn9AzT.jpg	Hermit the lone sluggish caterpillar of the Sea is looking for a new home, if only it weren't for those annoying sea creatures. Help hermit defend his home using the power of shells.	Dev: Jonathan Giezendanner, Art: Tristan Thévenoz, Audio: Pierrick Oggier		Released	8242
Wolf's Fury	wolfsfury	Windows Steam	https://www.facebook.com/myoubouh.corp/	Myoubouh Corp	Geneva	Myoubouh Corp			Later	French / English / Portuguese (Brazilian)																				In development	3140
Annulus	annulus	PC, Mac, Linux	https://zarkonnen.itch.io/annulus	David Stark	Zurich			2017-04-24		English		RPG				https://www.rockpapershotgun.com/2017/05/02/annulus/	@zarkonnen_com	http://www.zarkonnen.com/annulus_postmortem	https://github.com/Zarkonnen/Annulus		https://zarkonnen.itch.io/annulus				http://zarkonnen.com/static/bumble/media/uploads/ss1.png		In Annulus, you guide a stone-age tribe living on a ring-shaped space station. Apart from hunting and gathering, there are strange technological artefacts to study, and on occasion, there’s an opportunity to shape the culture of your tribe.			released	8134
